Hex Code,times,file,code,final code,,,,,,,,,,,,,,,,,,,,,,,
EFE6D7,2,SW2,40012,40012,40011,,,,,,,,,,,,,,,,,,,,,,
D9CEC4,1,SW1,40021,40021,,,,,,,,,,,,,,,,,,,,,,,
D7D5C8,5,SW3,40035,40035,40034,40033,40032,40031,,,,,,,,,,,,,,,,,,,
E1D3B4,1,D7,40041,40041,,,,,,,,,,,,,,,,,,,,,,,
DEC683,1,D1,40051,40051,,,,,,,,,,,,,,,,,,,,,,,
C6BF70,1,D2,40061,40061,,,,,,,,,,,,,,,,,,,,,,,
E5C95E,3,G1,40073,40073,40072,40071,,,,,,,,,,,,,,,,,,,,,
EAC465,3,T3,40083,40083,40082,40081,,,,,,,,,,,,,,,,,,,,,
E5AF4A,3,T1,40093,40093,40092,40091,,,,,,,,,,,,,,,,,,,,,
F4B938,4,C10,40104,40104,40103,40102,40101,,,,,,,,,,,,,,,,,,,,
F5A332,5,Q1,40115,40115,40114,40113,40112,40111,,,,,,,,,,,,,,,,,,,
EAC9A6,1,G7,40121,40121,,,,,,,,,,,,,,,,,,,,,,,
E5B778,2,F2,40132,40132,40131,,,,,,,,,,,,,,,,,,,,,,
F4A665,5,M7,40145,40145,40144,40143,40142,40141,,,,,,,,,,,,,,,,,,,
E08623,3,M9,40153,40153,40152,40151,,,,,,,,,,,,,,,,,,,,,30151
EB6B22,5,M8,40165,40165,40164,40163,40162,40161,,,,,,,,,,,,,,,,,,,30161
E16755,6,F4,40176,40176,40175,40174,40173,40172,40171,,,,,,,,,,,,,,,,,,
EC6634,3,BR4,40183,40183,40182,40181,,,,,,,,,,,,,,,,,,,,,
D84E13,1,BR2,40191,40191,,,,,,,,,,,,,,,,,,,,,,,
563D31,1,BR3,40201,40201,,,,,,,,,,,,,,,,,,,,,,,
E4C1B2,2,X4,40222,40222,40221,,,,,,,,,,,,,,,,,,,,,,
E6AE8F,1,X1,40231,40231,,,,,,,,,,,,,,,,,,,,,,,
CE9B7E,1,X2,40241,40241,,,,,,,,,,,,,,,,,,,,,,,
E5B2AD,1,X3,40251,40251,,,,,,,,,,,,,,,,,,,,,,,
DA8480,1,X5,40261,40261,,,,,,,,,,,,,,,,,,,,,,,
BF6464,1,X6,40271,40271,,,,,,,,,,,,,,,,,,,,,,,
BB404D,1,X7,40281,40281,,,,,,,,,,,,,,,,,,,,,,,
C1769B,1,X8,40291,40291,,,,,,,,,,,,,,,,,,,,,,,
B98093,1,X9,40301,40301,,,,,,,,,,,,,,,,,,,,,,,
A36087,1,X10,40311,40311,,,,,,,,,,,,,,,,,,,,,,,
8E5A6A,1,Y1,40321,40321,,,,,,,,,,,,,,,,,,,,,,,
CD5E84,1,Y2,40331,40331,,,,,,,,,,,,,,,,,,,,,,,
BF3A69,1,Y3,40341,40341,,,,,,,,,,,,,,,,,,,,,,,
9A356F,1,Y7,40351,40351,,,,,,,,,,,,,,,,,,,,,,,
7D1F55,1,Y5,40361,40361,,,,,,,,,,,,,,,,,,,,,,,
785789,2,Y6,40372,40372,40371,,,,,,,,,,,,,,,,,,,,,,
CBD5E5,2,Y4,40392,40392,40391,,,,,,,,,,,,,,,,,,,,,,
B9BFCA,4,D7,40404,40404,40403,40402,40401,,,,,,,,,,,,,,,,,,,,
A0B4CA,4,Q2,40414,40414,40413,40412,40411,,,,,,,,,,,,,,,,,,,,
8AAED7,1,Y8,40421,40421,,,,,,,,,,,,,,,,,,,,,,,
527CB6,1,Y9,40431,40431,,,,,,,,,,,,,,,,,,,,,,,
074E8D,1,E4,40441,40441,,,,,,,,,,,,,,,,,,,,,,,
0B3B6B,1,E5,40451,40451,,,,,,,,,,,,,,,,,,,,,,,
2E4D76,1,E7,40461,40461,,,,,,,,,,,,,,,,,,,,,,,
31425E,1,E8,40471,40471,,,,,,,,,,,,,,,,,,,,,,,
111325,5,D1,40485,40485,40484,40483,40482,40481,,,,,,,,,,,,,,,,,,,
CEDFD5,3,D2,40493,40493,40492,40491,,,,,,,,,,,,,,,,,,,,,
A0C2B0,1,C11,40501,40501,,,,,,,,,,,,,,,,,,,,,,,
78A385,1,C13,40511,40511,,,,,,,,,,,,,,,,,,,,,,,
4B9884,1,C16,40521,40521,,,,,,,,,,,,,,,,,,,,,,,
50A99E,1,C5,40531,40531,,,,,,,,,,,,,,,,,,,,,,,
18666F,1,C4,40541,40541,,,,,,,,,,,,,,,,,,,,,,,
004C73,2,R7,40552,40552,40551,,,,,,,,,,,,,,,,,,,,,,
